Participant.Name,TOI.Name,AOI.Name,Visit.Interval
102,TOI_06,AOI_56,1.197
102,TOI_02,AOI_27,1.189
101,TOI_07,AOI_16,1.18
101,TOI_04,AOI_81,2.17
101,TOI_06,AOI_31,2.17
101,TOI_07,AOI_79,2.17
102,TOI_05,AOI_12,1.166
101,TOI_06,AOI_62,2.16
101,TOI_08,AOI_28,2.16
102,TOI_09,AOI_90,2.101
101,TOI_01,AOI_82,2.1
102,TOI_04,AOI_40,1.474
102,TOI_02,AOI_93,2.472
101,TOI_05,AOI_33,1.46
102,TOI_07,AOI_24,2.459
102,TOI_08,AOI_100,1.445
102,TOI_04,AOI_91,1.444
102,TOI_10,AOI_48,1.434
101,TOI_10,AOI_52,2.42
102,TOI_02,AOI_73,2.416
101,TOI_02,AOI_74,2.39
101,TOI_06,AOI_30,2.38
102,TOI_04,AOI_58,1.37
101,TOI_06,AOI_89,2.37
101,TOI_09,AOI_80,2.37
102,TOI_04,AOI_83,1.36
102,TOI_07,AOI_33,2.36
102,TOI_08,AOI_40,1.333
101,TOI_09,AOI_80,1.33
102,TOI_05,AOI_82,2.322
101,TOI_08,AOI_33,2.32
101,TOI_08,AOI_88,1.32
101,TOI_06,AOI_22,2.31
102,TOI_02,AOI_37,2.301
102,TOI_06,AOI_78,2.293
102,TOI_07,AOI_91,2.292
101,TOI_08,AOI_64,1.27
101,TOI_10,AOI_01,2.27
101,TOI_02,AOI_27,2.26
101,TOI_07,AOI_17,1.25
101,TOI_05,AOI_81,2.24
102,TOI_08,AOI_02,1.24
101,TOI_07,AOI_26,2.23
101,TOI_08,AOI_51,1.23
101,TOI_10,AOI_79,2.21
102,TOI_08,AOI_43,2.198
102,TOI_09,AOI_01,1.198
101,TOI_08,AOI_46,1.18
102,TOI_07,AOI_08,2.175
102,TOI_06,AOI_67,2.17
102,TOI_07,AOI_40,1.156
101,TOI_07,AOI_28,1.14
102,TOI_07,AOI_43,2.138
102,TOI_08,AOI_87,1.134
102,TOI_09,AOI_95,1.112
101,TOI_01,AOI_91,2.11
101,TOI_01,AOI_12,2.11
102,TOI_09,AOI_61,2.104
101,TOI_08,AOI_08,2.49
101,TOI_09,AOI_45,1.49
102,TOI_03,AOI_13,2.49
102,TOI_10,AOI_22,2.488
101,TOI_04,AOI_14,2.47
102,TOI_06,AOI_18,2.467
102,TOI_07,AOI_06,1.466
101,TOI_08,AOI_25,2.46
101,TOI_09,AOI_39,2.46
101,TOI_08,AOI_14,2.45
102,TOI_08,AOI_63,2.45
102,TOI_01,AOI_03,2.446
101,TOI_03,AOI_02,2.44
101,TOI_08,AOI_92,1.43
102,TOI_04,AOI_73,2.429
102,TOI_10,AOI_83,2.429
102,TOI_07,AOI_50,2.422
101,TOI_04,AOI_98,1.42
102,TOI_07,AOI_93,1.418
102,TOI_10,AOI_60,1.417
102,TOI_07,AOI_34,2.409
102,TOI_03,AOI_19,1.408
102,TOI_01,AOI_41,1.407
101,TOI_07,AOI_02,1.4
102,TOI_08,AOI_26,2.393
102,TOI_05,AOI_33,1.391
102,TOI_01,AOI_55,2.387
102,TOI_03,AOI_91,2.384
102,TOI_07,AOI_94,1.382
102,TOI_08,AOI_59,1.376
102,TOI_04,AOI_44,1.375
101,TOI_04,AOI_52,1.37
101,TOI_05,AOI_43,1.37
101,TOI_08,AOI_43,1.37
102,TOI_06,AOI_59,1.364
102,TOI_09,AOI_20,1.363
101,TOI_07,AOI_31,1.36
102,TOI_10,AOI_16,1.355
102,TOI_06,AOI_27,2.353
101,TOI_03,AOI_07,2.35
101,TOI_06,AOI_24,2.35
101,TOI_05,AOI_10,2.34
101,TOI_09,AOI_63,2.34
102,TOI_07,AOI_60,1.337
102,TOI_01,AOI_63,1.333
102,TOI_07,AOI_12,1.332
102,TOI_07,AOI_43,2.331
101,TOI_07,AOI_59,2.33
102,TOI_06,AOI_55,2.327
101,TOI_01,AOI_84,1.31
101,TOI_09,AOI_02,2.31
102,TOI_08,AOI_60,1.31
102,TOI_01,AOI_54,1.303
101,TOI_07,AOI_73,1.3
102,TOI_03,AOI_91,1.3
101,TOI_01,AOI_85,1.29
101,TOI_02,AOI_55,1.29
102,TOI_10,AOI_44,1.289
102,TOI_01,AOI_22,2.285
101,TOI_02,AOI_70,1.28
101,TOI_05,AOI_48,2.28
101,TOI_08,AOI_63,1.28
102,TOI_05,AOI_59,1.28
102,TOI_05,AOI_76,2.271
102,TOI_05,AOI_31,1.262
101,TOI_07,AOI_80,2.26
101,TOI_09,AOI_40,1.26
102,TOI_07,AOI_80,2.258
102,TOI_02,AOI_69,2.255
102,TOI_02,AOI_18,2.254
102,TOI_05,AOI_57,2.249
102,TOI_05,AOI_66,1.249
102,TOI_07,AOI_10,1.247
102,TOI_08,AOI_98,1.241
101,TOI_01,AOI_77,2.24
102,TOI_09,AOI_01,2.24
101,TOI_03,AOI_77,1.23
101,TOI_04,AOI_50,2.23
102,TOI_10,AOI_41,2.23
101,TOI_09,AOI_80,1.22
101,TOI_10,AOI_06,2.22
102,TOI_01,AOI_80,1.216
101,TOI_04,AOI_23,2.21
102,TOI_04,AOI_18,1.207
102,TOI_04,AOI_58,2.202
102,TOI_01,AOI_99,2.198
101,TOI_06,AOI_52,1.19
102,TOI_05,AOI_08,1.187
102,TOI_07,AOI_06,1.181
101,TOI_05,AOI_73,1.18
102,TOI_06,AOI_06,2.18
101,TOI_07,AOI_74,1.17
101,TOI_06,AOI_24,1.16
101,TOI_09,AOI_23,1.16
101,TOI_09,AOI_28,2.16
102,TOI_03,AOI_55,2.141
